Título:;Data:;Link:;Fonte:
Vídeo não mostra muçulmano detido por tráfico de crianças | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/video-excesso-de-passageiros-nao-trafico-de-criancas/;Aos Fatos
É falso que imposto sindical foi descontado de aposentadoria | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/falso-imposto-sindical-descontado-aposentadoria/;Aos Fatos
Vídeo mostra recorde de natação, não idosa fugindo de Cuba | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/video-recorde-nadadora-nao-idosa-fugindo-de-cuba/;Aos Fatos
Câmara não derrubou decreto de Lula contra armas de fogo | Aos Fatos;02/10/2023;https://www.aosfatos.org//noticias/falso-camara-derrubou-decreto-lula-armas/;Aos Fatos
"É #FATO: Britney Spears dança brincando com facas; &#39;Halloween está próximo&#39;, diz cantora | Fato ou Fake | G1";30/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/30/e-fato-britney-spears-manuseia-facas-enquanto-danca-e-gira.ghtml;Fato ou Fake
É #FAKE que Leila Pereira, presidente do Palmeiras, fez gesto obsceno em jogo da Libertadores | Fato ou Fake | G1;29/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/29/e-fake-que-leila-pereira-presidente-do-palmeiras-fez-gesto-obsceno-em-jogo-da-libertadores.ghtml;Fato ou Fake
É #FATO que leões marinhos interagiram com cães durante enchente no RS, como mostra vídeo que viralizou | Fato ou Fake | G1;29/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/29/e-fato-que-leoes-marinhos-interagiram-com-caes-durante-enchente-no-rs-como-mostra-video-que-viralizou.ghtml;Fato ou Fake
PL não determina que órgãos pertencerão ao Estado brasileiro | Aos Fatos;28/09/2023;https://www.aosfatos.org//noticias/projeto-nao-determina-orgaos-pertencerao-ao-estado/;Aos Fatos
PL não previa consumo de carne de cães abatidos em escolas | Aos Fatos;27/09/2023;https://www.aosfatos.org//noticias/falso-carne-de-cachorro-apodi/;Aos Fatos
É falso que compilado de desastres foi gravado na Líbia | Aos Fatos;27/09/2023;https://www.aosfatos.org//noticias/videos-desastres-outros-paises-nao-libia/;Aos Fatos
É #FAKE que vídeo de descarte de alimentos mostre situação no Nordeste e tenha sido gravado em 2023 | Fato ou Fake | G1;27/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/27/e-fake-que-video-de-descarte-de-alimentos-mostre-situacao-no-nordeste-e-tenha-sido-gravado-em-2023.ghtml;Fato ou Fake, Aos Fatos
Vídeo mostra organização, e não descarte, de doações no RS | Aos Fatos;26/09/2023;https://www.aosfatos.org//noticias/video-maquina-doacoes-encantado/;Aos Fatos
Vídeo que mostra fila para doação de ossos é de 2021 | Aos Fatos;26/09/2023;https://www.aosfatos.org//noticias/reportagem-2021-familias-doacao-de-ossos/;Aos Fatos
É falso que o governo Lula anunciou o fim do Bolsa Família | Aos Fatos;25/09/2023;https://www.aosfatos.org//noticias/falso-video-antigo-lula-fim-do-bolsa-familia/;Aos Fatos
Lula não determinou criação de banheiros unissex em escolas | Aos Fatos;25/09/2023;https://www.aosfatos.org//noticias/falso-banheiros-unissex-escolas/;Aos Fatos
Advogado não provou que PT ordenou morte de Bolsonaro | Aos Fatos;25/09/2023;https://www.aosfatos.org//noticias/falso-wassef-provou-pt-ordenou-atentado-bolsonaro/;Aos Fatos
É #FAKE que água do Rio de Janeiro está contaminada com vírus capaz de causar parada cardíaca em crianças | Fato ou Fake | G1;25/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/25/e-fake-que-agua-do-rio-de-janeiro-esta-contaminada-com-virus-capaz-de-causar-parada-cardiaca-em-criancas.ghtml;Fato ou Fake
Putin não criticou encontro de Lula e Zelenski em entrevista | Aos Fatos;22/09/2023;https://www.aosfatos.org//noticias/falso-entrevista-putin-critica-lula-encontro-zelenski/;Aos Fatos
Janja não vai assumir Presidência após cirurgia de Lula | Aos Fatos;22/09/2023;https://www.aosfatos.org//noticias/falso-janja-assume-presidencia/;Aos Fatos
Quatro dicas para se proteger do golpe da maquininha | Itaú | G1;22/09/2023;https://g1.globo.com/fato-ou-fake/itau/noticia/2023/09/22/quatro-dicas-para-se-proteger-do-golpe-da-maquininha.ghtml;Fato ou Fake
Vídeo mostra Lula sendo ovacionado no Brasil, não na ONU | Aos Fatos;21/09/2023;https://www.aosfatos.org//noticias/video-lula-novo-pac-nao-onu/;Aos Fatos
É falso que Biden ignorou Lula durante evento em Nova York | Aos Fatos;21/09/2023;https://www.aosfatos.org//noticias/falso-biden-ignorou-lula-em-nova-york/;Aos Fatos
Vídeo mostra festival folclórico, não parada sobre família | Aos Fatos;20/09/2023;https://www.aosfatos.org//noticias/video-festival-folclorico-servia-nao-parada-do-orgulho-da-familia/;Aos Fatos
Vídeo adulterado faz crer que Lula bebeu e assediou mulher | Aos Fatos;20/09/2023;https://www.aosfatos.org//noticias/falso-video-lula-assediou-mulher/;Aos Fatos
Vídeo que mostra projeção pró-Lula em Nova York é de 2022 | Aos Fatos;20/09/2023;https://www.aosfatos.org//noticias/projecao-lula-predio-nova-york-2022-nao-2023/;Aos Fatos
Adélio não disse que PT, PSOL e MDB mandaram matar Bolsonar | Aos Fatos;20/09/2023;https://www.aosfatos.org//noticias/falso-adelio-confessou-pt-psol-mdb-mandaram-matar-bolsonaro/;Aos Fatos
É #FAKE notícia de que BB estaria processando Luciano Huck por fala sobre criptomoedas | Fato ou Fake | G1;20/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/20/e-fake-noticia-de-que-bb-estaria-processando-luciano-huck-por-fala-sobre-criptomoedas.ghtml;Fato ou Fake
"É #FATO: ilusão de ótica faz parecer que helicóptero voa sem mexer as pás; veja vídeo | Fato ou Fake | G1";20/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/20/e-fato-ilusao-de-otica-faz-parecer-que-helicoptero-voa-sem-mexer-as-pas-veja-video.ghtml;Fato ou Fake
Bolsa que Marina Silva usou custa R$ 250, não R$ 52 mil | Aos Fatos;19/09/2023;https://www.aosfatos.org//noticias/bolsa-marina-silva-visita-rio-grande-do-sul/;Aos Fatos
Vídeo não mostra nova gravação do 8/1 que incrimina Lula | Aos Fatos;19/09/2023;https://www.aosfatos.org//noticias/falso-nova-gravacao-8-de-janeiro-incrimina-lula/;Aos Fatos
Veja a checagem do discurso de Lula na ONU | Fato ou Fake | G1;19/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/19/veja-a-checagem-do-discurso-de-lula-na-onu.ghtml;Fato ou Fake
Vídeo não mostra enchente na Líbia, e sim na Turquia | Aos Fatos;18/09/2023;https://www.aosfatos.org//noticias/video-enchente-turquia-nao-libia/;Aos Fatos
Foto não mostra Eliziane Gama disfarçada no 8 de janeiro | Aos Fatos;18/09/2023;https://www.aosfatos.org//noticias/falso-eliziane-gama-8-de-janeiro/;Aos Fatos
É #FAKE que haverá pagamento extra do INSS em setembro de 2023 | Fato ou Fake | G1;16/09/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/09/16/e-fake-que-havera-pagamento-extra-do-inss-em-setembro-de-2023.ghtml;Fato ou Fake
Vídeo não mostra pessoas que perderam Bolsa Família em 2023 | Aos Fatos;15/09/2023;https://www.aosfatos.org//noticias/video-2021-impacto-pandemia-bolsa-familia/;Aos Fatos
Lula não roubou canetas durante reunião da Cúpula do G20 | Aos Fatos;15/09/2023;https://www.aosfatos.org//noticias/falso-lula-roubou-canetas-g20/;Aos Fatos
Vídeo de 2020 sobre facada em Bolsonaro circula como novo | Aos Fatos;14/09/2023;https://www.aosfatos.org//noticias/video-noticia-facada-bolsonaro-2020-nao-atual/;Aos Fatos
É falso que Lula foi ignorado por líderes na Cúpula do G20 | Aos Fatos;13/09/2023;https://www.aosfatos.org//noticias/falso-lula-ignorado-lideres-g20/;Aos Fatos
Prefeito de Garanhuns não destruiu estátua de Lula | Aos Fatos;13/09/2023;https://www.aosfatos.org//noticias/prefeito-garanhuns-nao-mandou-destruir-estatua-lula/;Aos Fatos
Aras não disse que vai invalidar delação de Mauro Cid | Aos Fatos;13/09/2023;https://www.aosfatos.org//noticias/falso-aras-invalidar-delacao-mauro-cid/;Aos Fatos
Falta de equipamento não prova que Bolsonaro forjou cirurgia | Aos Fatos;13/09/2023;https://www.aosfatos.org//noticias/indumentarias-equipe-medica-nao-provam-cirurgia-bolsonaro-encenada/;Aos Fatos
Doações não foram retidas para aguardar Lula em Muçum | Aos Fatos;12/09/2023;https://www.aosfatos.org//noticias/doacoes-mucum-rs-nao-foram-retidas-para-aguardar-lula/;Aos Fatos
Cena de resgate com carregadeira ocorreu na China, não no RS | Aos Fatos;12/09/2023;https://www.aosfatos.org//noticias/video-resgate-carregadeira-enchente-china/;Aos Fatos
Lula apoiou indicação a tribunal que agora diz desconhecer | Aos Fatos;11/09/2023;https://www.aosfatos.org//noticias/lula-tribunal-penal-internacional-cupula-g20/;Aos Fatos
Posts usam vídeos de outros desastres para mentir sobre RS | Aos Fatos;11/09/2023;https://www.aosfatos.org//noticias/videos-desastres-climaticos-ciclone-rs/;Aos Fatos
Barragens não têm relação com enchente no Vale do Taquari | Aos Fatos;11/09/2023;https://www.aosfatos.org//noticias/enchente-vale-do-taquari-nao-foi-causada-por-comportas-barragens/;Aos Fatos
